,,tur_len,rlam_heat,cloud_num,entr_sc,pat_len,crsmin,tkhmin/tkmmin,rat_sea,q_crit,mu_rain,rain_n0_factor,c_soil
M,1,500,0.1,5.00e+08,0.0003,100,150,0.2,100.,1.6,0.5,0.1,1.0
M,2,150,1,5.00e+07,0.0003,500,150,0.4,10.,1.6,0,1,1.0
M,3,150,1,5.00e+08,0.0003,500,50,0.4,10.,1.6,0.5,0.1,1.5
M,4,150,1,5.00e+08,0.0003,500,200,0.4,10.,1.6,0.5,0.1,0.5
M,5,150,1,5.00e+08,0.002,500,150,0.4,10.,1.6,0.5,0.1,1.0
M,6,150,1,5.00e+08,0.0003,500,150,0.4,10.,4,0.5,0.1,1.0
M,7,150,0.1,5.00e+08,0.0003,1000,150,0.2,100.,1.6,0.5,0.1,1.0
M,8,150,0.1,5.00e+08,0.0003,100,150,0.75,100.,1.6,0.5,0.1,1.0
M,9,150,10,5.00e+08,0.0003,100,150,0.2,1.,1.6,0.5,0.1,1.0
M,10,150,10,5.00e+08,0.0003,1000,150,0.75,1.,1.6,0.5,0.1,1.0
M,11,500,1,5.00e+08,0.0003,500,150,0.4,10.,1.6,0,1,1.0
M,12,150,0.1,5.00e+08,0.0003,500,150,0.4,100.,1.6,0,1,1.0
M,13,150,1,5.00e+08,0.002,500,150,0.4,10.,4,0.5,0.1,1.0
M,14,150,1,5.00e+07,0.0003,500,150,0.75,10.,1.6,0.5,0.1,1.5
M,15,150,1,5.00e+08,0.0003,500,50,0.4,10.,4,0.5,0.1,1.0
M,16,500,1,5.00e+08,0.002,500,50,0.4,10.,1.6,0.5,0.1,1.0
M,17,150,1,5.00e+08,0.0003,1000,50,0.4,10.,4,0.5,0.1,1.0
M,18,150,1,5.00e+07,0.0003,500,150,0.4,10.,1.6,0,1,0.5
M,19,150,10,5.00e+08,0.0003,500,150,0.4,1.,1.6,0,1,1.0
M,20,500,1,5.00e+08,0.002,500,200,0.4,10.,1.6,0.5,0.1,1.0
